L1,L2,L3,pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
c1(cc(cc(n1)c1ccccn1)c1cc(c(c(c1)OC)OC)OC)c1ncccc1,c1nccn1C, [O-]Cl(=O)(=O)=O ,5.9,399.45000000000016,4.898400000000003,0.0,6.0,66.36000000000001,6.0,4.0,0.0,0.125,30.0,82.106,0.4200999999999999,0,2,17.82,0,1,0,0.25,6,99.449,-4.756,0,4,92.24,0,0,0,0.0,5
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,C1=C(C2=C(C=C1)C(C(=CC2=O)C)=O)O[H],O[N+](=O)[O-],4.98,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,188.18199999999996,1.7174999999999996,1,3,54.370000000000005,0,1,1,0.09090909090909091,14,63.01200000000001,-0.34770000000000006,1,2,63.370000000000005,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1, c1c(cc2c(c1O)c(=O)cc(o2)c1ccccc1)O,O[N+](=O)[O-] ,5.09,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,254.241,2.8712000000000013,2,4,70.67,1,3,0,0.0,19,63.01200000000001,-0.34770000000000006,1,2,63.370000000000005,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,c1(c(ccc(c1)/C=C/C(=C/C(=O)/C=C/c1ccc(c(c1)OC)O)/O)O)OC,O[N+](=O)[O-],5.26,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,368.3850000000001,3.8526000000000034,3,6,96.22000000000001,7,2,0,0.09523809523809523,27,63.01200000000001,-0.34770000000000006,1,2,63.370000000000005,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C)c1ncccc1 , c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl ,4.94,323.39900000000006,5.181020000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.045454545454545456,25.0,230.26299999999998,3.036500000000001,1,2,46.53,3,2,0,0.21428571428571427,17,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1occc1)c1ncccc1,c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl ,4.51,299.333,4.465600000000003,0.0,4.0,51.81,3.0,4.0,0.0,0.0,23.0,230.26299999999998,3.036500000000001,1,2,46.53,3,2,0,0.21428571428571427,17,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],5.15,233.27400000000003,3.2056000000000013,0.0,3.0,38.67,2.0,3.0,0.0,0.0,18.0,242.274,3.2340000000000018,1,3,54.370000000000005,2,1,1,0.2,18,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],4.71,233.27400000000003,3.2056000000000013,0.0,3.0,38.67,2.0,3.0,0.0,0.0,18.0,242.274,3.2340000000000018,1,3,54.370000000000005,2,1,1,0.2,18,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],4.41,233.27400000000003,3.2056000000000013,0.0,3.0,38.67,2.0,3.0,0.0,0.0,18.0,242.274,3.2340000000000018,1,3,54.370000000000005,2,1,1,0.2,18,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],4.37,233.27400000000003,3.2056000000000013,0.0,3.0,38.67,2.0,3.0,0.0,0.0,18.0,242.274,3.2340000000000018,1,3,54.370000000000005,2,1,1,0.2,18,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],4.36,233.27400000000003,3.2056000000000013,0.0,3.0,38.67,2.0,3.0,0.0,0.0,18.0,242.274,3.2340000000000018,1,3,54.370000000000005,2,1,1,0.2,18,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1ccnc(c1)c1nc(ccc1)c1ncccc1,Cl,Cl,4.43,233.27400000000003,3.2056000000000013,0.0,3.0,38.67,2.0,3.0,0.0,0.0,18.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccncc1)c1ncccc1,Cl,Cl,4.39,310.36,4.2676000000000025,0.0,4.0,51.56,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)OC)c1ncccc1 ,Cl,Cl,5.27,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)OC)c1ncccc1 ,Cl,Cl,5.57,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)OC)c1ncccc1 ,Cl,Cl,5.27,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,5.05,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,5.38,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)OC)c1ncccc1,Cl,Cl,5.08,339.3980000000001,4.881200000000004,0.0,4.0,47.900000000000006,4.0,4.0,0.0,0.045454545454545456,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(cc(c1)OC)OC)c1ncccc1,Cl,Cl,5.52,369.4240000000001,4.889800000000005,0.0,5.0,57.13000000000001,5.0,4.0,0.0,0.08695652173913043,28.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(cc(c1)OC)OC)c1ncccc1,Cl,Cl,5.41,369.4240000000001,4.889800000000005,0.0,5.0,57.13000000000001,5.0,4.0,0.0,0.08695652173913043,28.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(cc(c1)OC)OC)c1ncccc1,Cl,Cl,5.21,369.4240000000001,4.889800000000005,0.0,5.0,57.13000000000001,5.0,4.0,0.0,0.08695652173913043,28.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1cccc(c1)O,OC(=O)c1cccc(c1)O,6.36,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1cccc(c1)O,OC(=O)c1cccc(c1)O,6.27,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccc(cc1)O,OC(=O)c1ccc(cc1)O,5.83,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccc(cc1)O,OC(=O)c1ccc(cc1)O,6.13,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10,138.12199999999999,1.0903999999999998,2,2,57.53,1,1,0,0.0,10
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.64,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],5.05,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],5.3,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.54,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.68,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1cc2c(cc1)cccc2)c1ncccc1,[O-]N(=O)=O,[H]O[H],4.92,389.458,5.937800000000005,0.0,4.0,47.900000000000006,5.0,5.0,0.0,0.038461538461538464,30.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.17,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.25,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.41,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.2,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.44,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)OCc1nc2c([nH]1)cccc2)c1ncccc1, [O-]N(=O)=O ,[H]O[H],4.15,379.42300000000006,4.6609000000000025,1.0,5.0,76.58000000000001,5.0,5.0,0.0,0.043478260869565216,29.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,18.015,-0.8247,0,0,31.5,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,[O-]N(=O)=O,[O-]N(=O)=O,6.38,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,[O-]N(=O)=O,[O-]N(=O)=O,6.06,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,[O-]N(=O)=O,[O-]N(=O)=O,6.38,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccccc1,[O-]N(=O)=O,6.38,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,122.12299999999996,1.3848,1,1,37.3,1,1,0,0.0,9,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccccc1,[O-]N(=O)=O,6.32,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,122.12299999999996,1.3848,1,1,37.3,1,1,0,0.0,9,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccccc1,[O-]N(=O)=O,6.43,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,122.12299999999996,1.3848,1,1,37.3,1,1,0,0.0,9,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.07,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.18,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.55,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.12,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,5.87,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,6.46,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,5.82,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,6.11,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,5.98,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,5.87,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.75,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,5.72,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.45,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.1,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.0,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.57,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,5.75,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.36,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.36,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.45,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,6.64,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,5.9,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
