pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
5.9,0.8845095950522307,0.025301559282140253,0,2.7267501402261547,0.7192288680177957,2.192385602159835,-0.26432744018203497,0.0,13.00000000000002,1.149481140617637,1.7869866499628075,-0.0017000000000000903,0,1.0973313495599912,17.82,-0.2790755001355615,1.7696829165862957,0,0.25,0.6190202041481982,62.98799999999999,-5.1778,0,4.701111649440189,92.24,-0.17149858514250885,-0.17149858514250885,0,0.0,2.1127299517192593
4.98,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,5.9398269584622,1.2956999999999996,1,1.9058912913410373,54.370000000000005,-0.2790755001355615,1.7696829165862957,1,0.0909090909090909,2.2856130614702703,26.551000000000002,-0.7695000000000001,1,2.1890672566095537,63.370000000000005,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
5.09,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,8.526014955173629,2.449400000000001,1,2.7144512331220834,70.67,0.9812654682185873,6.004821520382559,0,0.0,3.327233597296565,26.551000000000002,-0.7695000000000001,1,2.1890672566095537,63.370000000000005,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
5.26,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,12.99471479465999,3.430800000000003,1,4.3315711166841755,96.22,8.543311278343479,3.887252218484427,0,0.0952380952380952,4.993826454618637,26.551000000000002,-0.7695000000000001,1,2.1890672566095537,63.370000000000005,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
4.94,-0.324625975801708,0.44104148278905364,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,4.727272727272729,-0.3134948565320834,7.587284187448616,2.614700000000001,1,1.0973313495599912,46.53,3.501947404926885,3.887252218484427,0,0.2142857142857142,2.9105853829660475,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.51,-0.7072515382291696,-0.6113562812591941,0,0.14739189947168407,0.0,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.8986852553919716,7.587284187448616,2.614700000000001,1,1.0973313495599912,46.53,3.501947404926885,3.887252218484427,0,0.2142857142857142,2.9105853829660475,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.15,-1.7575242062419536,-2.464842600764928,0,-1.1422872209055512,-0.6495304003954522,-1.3457583091067575,-2.577192541774849,0.0,0.0,-2.3616612525416922,8.0575108640332,2.8122000000000016,1,1.9058912913410373,54.370000000000005,2.2416064365727357,1.7696829165862957,1,0.2,3.1189094901313066,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.71,-1.7575242062419536,-2.464842600764928,0,-1.1422872209055512,-0.6495304003954522,-1.3457583091067575,-2.577192541774849,0.0,0.0,-2.3616612525416922,8.0575108640332,2.8122000000000016,1,1.9058912913410373,54.370000000000005,2.2416064365727357,1.7696829165862957,1,0.2,3.1189094901313066,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.41,-1.7575242062419536,-2.464842600764928,0,-1.1422872209055512,-0.6495304003954522,-1.3457583091067575,-2.577192541774849,0.0,0.0,-2.3616612525416922,8.0575108640332,2.8122000000000016,1,1.9058912913410373,54.370000000000005,2.2416064365727357,1.7696829165862957,1,0.2,3.1189094901313066,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.37,-1.7575242062419536,-2.464842600764928,0,-1.1422872209055512,-0.6495304003954522,-1.3457583091067575,-2.577192541774849,0.0,0.0,-2.3616612525416922,8.0575108640332,2.8122000000000016,1,1.9058912913410373,54.370000000000005,2.2416064365727357,1.7696829165862957,1,0.2,3.1189094901313066,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.36,-1.7575242062419536,-2.464842600764928,0,-1.1422872209055512,-0.6495304003954522,-1.3457583091067575,-2.577192541774849,0.0,0.0,-2.3616612525416922,8.0575108640332,2.8122000000000016,1,1.9058912913410373,54.370000000000005,2.2416064365727357,1.7696829165862957,1,0.2,3.1189094901313066,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.43,-1.7575242062419536,-2.464842600764928,0,-1.1422872209055512,-0.6495304003954522,-1.3457583091067575,-2.577192541774849,0.0,0.0,-2.3616612525416922,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.39,-0.5319331605640982,-0.9026184171815239,0,0.14739189947168407,-0.012357884330202667,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.27,-0.0702577229438604,0.0,0,0.14739189947168407,-0.19327731092436953,0.42331364652653886,-0.26432744018203497,0.0,4.727272727272729,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.57,-0.0702577229438604,0.0,0,0.14739189947168407,-0.19327731092436953,0.42331364652653886,-0.26432744018203497,0.0,4.727272727272729,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.27,-0.0702577229438604,0.0,0,0.14739189947168407,-0.19327731092436953,0.42331364652653886,-0.26432744018203497,0.0,4.727272727272729,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.05,-0.0702577229438604,0.0,0,0.14739189947168407,-0.19327731092436953,0.42331364652653886,-0.26432744018203497,0.0,4.727272727272729,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.38,-0.0702577229438604,0.0,0,0.14739189947168407,-0.19327731092436953,0.42331364652653886,-0.26432744018203497,0.0,4.727272727272729,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.08,-0.0702577229438604,0.0,0,0.14739189947168407,-0.19327731092436953,0.42331364652653886,-0.26432744018203497,0.0,4.727272727272729,-0.02089965710213931,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.52,0.4071259360541847,0.012650779641071433,0,1.4370710198489194,0.2629757785467131,1.307849624343187,-0.26432744018203497,0.0,9.043478260869577,0.5642907417577488,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.41,0.4071259360541847,0.012650779641071433,0,1.4370710198489194,0.2629757785467131,1.307849624343187,-0.26432744018203497,0.0,9.043478260869577,0.5642907417577488,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.21,0.4071259360541847,0.012650779641071433,0,1.4370710198489194,0.2629757785467131,1.307849624343187,-0.26432744018203497,0.0,9.043478260869577,0.5642907417577488,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.36,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
6.27,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
5.83,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
6.13,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.9799945190463144,0.6685999999999999,1,1.0973313495599912,57.53,0.9812654682185873,1.7696829165862957,0,0.0,1.4523166328092343,101.661,0.6685999999999999,2,2.1890672566095537,57.53,5.830951894845301,5.830951894845301,0,0.0,5.112549355783116
4.64,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.05,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
5.3,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.54,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.68,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.92,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.17,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.25,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.41,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.2,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.44,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.15,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.38,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.06,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.38,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.38,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.353638961750771,0.9630000000000001,1,0.288771407778945,37.3,0.9812654682185873,1.7696829165862957,0,0.0,1.2439925256439752,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.32,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.353638961750771,0.9630000000000001,1,0.288771407778945,37.3,0.9812654682185873,1.7696829165862957,0,0.0,1.2439925256439752,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
